order,name,type,varlab,table_name,usecols
1,pid,double,个人id,adult2010,1
2,fid,double,家庭样本代码,adult2010,1
3,cid,double,村居样本代码,adult2010,1
4,provcd,double,省国标码,adult2010,1
5,countyid,double,区县顺序码,adult2010,1
6,psu,double,primary sampling unit,adult2010,1
7,rswt_nat,double,个人权重-全国样本,adult2010,1
8,rswt_res,double,个人权重-全国再抽样样本,adult2010,1
9,subpopulation,double,抽样子总体,adult2010,1
10,subsample,double,是否在全国再抽样样本中,adult2010,1
11,indno,double,个人的家庭成员顺序号,adult2010,1
12,urban,double,基于国家统计局资料的城乡分类变量,adult2010,1
13,cyear,double,采访年份,adult2010,1
14,cmonth,double,访问月份,adult2010,1
15,gender,double,性别（家庭问卷tb2）,adult2010,1
16,qa1y,double,请问您的出生日期（年）,adult2010,1
17,qa1y_best,double,您的出生日期修正（年）,adult2010,1
18,qa1m,double,请问您的出生日期（月）,adult2010,1
19,qa1age,double,自动计算年龄,adult2010,1
20,qa101,double,请问您出生时的体重（斤）,adult2010,1
21,qa102acode,double,请问您的出生地（省编码）,adult2010,1
22,qa102c_code,double,请问您的出生地（县/区）_编码,adult2010,1
23,qa2,double,您现在的户口状况是,adult2010,1
24,qa201acode,double,您现在的户口落在什么地方（省编码）-清理,adult2010,1
25,qa3,double,您3岁时的居住地是否与出生地相同,adult2010,1
26,qa301acode,double,您3岁时的居住地在什么地方（省）,adult2010,1
27,qa301c_code,double,3岁时居住地（县/区）_编码,adult2010,1
28,qa302,double,您3岁时户口状况是,adult2010,1
29,qa303,double,您3岁以前您父亲不与您在一起居住的连续时间（周）,adult2010,1
30,qa304,double,您3岁以前您母亲不与您在一起居住的连续时间（周）,adult2010,1
31,qa4,double,您12岁时的居住地是否与出生地相同,adult2010,1
32,qa401acode,double,您12岁时的居住地在什么地方（省编码）,adult2010,1
33,qa401c_code,double,12岁时居住地（县/区）_编码,adult2010,1
34,qa402,double,您12岁时户口状况是,adult2010,1
35,qa403,double,您4-12岁时，您父亲不与您在一起居住的连续时间（周）,adult2010,1
36,qa404,double,您4-12岁时，您母亲不与您在一起居住的连续时间（周）,adult2010,1
37,qa5code,double,请问，您的民族成分（编码）,adult2010,1
38,qa7_s_1,double,您参加了以下哪些组织：选择1,adult2010,1
39,qa7_s_2,double,您参加了以下哪些组织：选择2,adult2010,1
40,qa7_s_3,double,您参加了以下哪些组织：选择3,adult2010,1
41,qa7_s_4,double,您参加了以下哪些组织：选择4,adult2010,1
42,qa7_s_5,double,您参加了以下哪些组织：选择5,adult2010,1
43,qa7_s_6,double,您参加了以下哪些组织：选择6,adult2010,1
44,qa7_s_7,double,您参加了以下哪些组织：选择7,adult2010,1
45,qa7_s_8,double,您参加了以下哪些组织：选择8,adult2010,1
46,qa7_s_9,double,您参加了以下哪些组织：选择9,adult2010,1
47,qa7_s_10,double,您参加了以下哪些组织：选择10,adult2010,1
48,qa7_s_11,double,您参加了以下哪些组织：选择11,adult2010,1
49,qa7_s_12,double,您参加了以下哪些组织：选择12,adult2010,1
50,qa7_s_13,double,您参加了以下哪些组织：选择13,adult2010,1
51,qa7_s_14,double,您参加了以下哪些组织：选择14,adult2010,1
52,qa701,double,您是哪年入党的,adult2010,1
53,qb1,double,请问您一共有几个兄弟姐妹（包含已经去世的）,adult2010,1
54,qb2,double,有几个兄弟姐妹住在这个家里,adult2010,1
55,qb3count,double,不住在一起兄弟姐妹人数（自动计数）,adult2010,1
56,qb301_a_1,double,姓名1：家庭关系,adult2010,1
57,qb302_a_1,double,姓名1：血缘关系,adult2010,1
58,qb303y_a_1,double,姓名1：出生日期（年）,adult2010,1
59,qb303m_a_1,double,姓名1：出生日期（月）,adult2010,1
60,qb303a_a_1,double,姓名1：属相,adult2010,1
61,qb303b_a_1,double,姓名1：年龄,adult2010,1
62,qb304_a_1,double,姓名1：是否健在,adult2010,1
63,qb305_a_1,double,姓名1：是多大年纪时去世,adult2010,1
64,qb307_a_1,double,姓名1：婚姻状况,adult2010,1
65,qb308_a_1,double,姓名1：最高学历,adult2010,1
66,qb309_occu_1,double,兄弟姐妹1:职业代码,adult2010,1
67,qb309_ind_1,double,兄弟姐妹1:行业代码,adult2010,1
68,qb310_a_1,double,姓名1：是否有行政/管理职务,adult2010,1
69,qb312_a_1,double,姓名1：居住地点,adult2010,1
70,qb312spcode_a_1,double,外省注明（编码）_a_1,adult2010,1
71,qb301_a_2,double,姓名2：家庭关系,adult2010,1
72,qb302_a_2,double,姓名2：血缘关系,adult2010,1
73,qb303y_a_2,double,姓名2：出生日期（年）,adult2010,1
74,qb303m_a_2,double,姓名2：出生日期（月）,adult2010,1
75,qb303a_a_2,double,姓名2：属相,adult2010,1
76,qb303b_a_2,double,姓名2：年龄,adult2010,1
77,qb304_a_2,double,姓名2：是否健在,adult2010,1
78,qb305_a_2,double,姓名2：是多大年纪时去世,adult2010,1
79,qb307_a_2,double,姓名2：婚姻状况,adult2010,1
80,qb308_a_2,double,姓名2：最高学历,adult2010,1
81,qb309_occu_2,double,兄弟姐妹2:职业代码,adult2010,1
82,qb309_ind_2,double,兄弟姐妹2:行业代码,adult2010,1
83,qb310_a_2,double,姓名2：是否有行政/管理职务,adult2010,1
84,qb312_a_2,double,姓名2：居住地点,adult2010,1
85,qb312spcode_a_2,double,外省注明（编码）_a_2,adult2010,1
86,qb301_a_3,double,姓名3：家庭关系,adult2010,1
87,qb302_a_3,double,姓名3：血缘关系,adult2010,1
88,qb303y_a_3,double,姓名3：出生日期（年）,adult2010,1
89,qb303m_a_3,double,姓名3：出生日期（月）,adult2010,1
90,qb303a_a_3,double,姓名3：属相,adult2010,1
91,qb303b_a_3,double,姓名3：年龄,adult2010,1
92,qb304_a_3,double,姓名3：是否健在,adult2010,1
93,qb305_a_3,double,姓名3：是多大年纪时去世,adult2010,1
94,qb307_a_3,double,姓名3：婚姻状况,adult2010,1
95,qb308_a_3,double,姓名3：最高学历,adult2010,1
96,qb309_occu_3,double,兄弟姐妹3:职业代码,adult2010,1
97,qb309_ind_3,double,兄弟姐妹3:行业代码,adult2010,1
98,qb310_a_3,double,姓名3：是否有行政/管理职务,adult2010,1
99,qb312_a_3,double,姓名3：居住地点,adult2010,1
100,qb312spcode_a_3,double,外省注明（编码）_a_3,adult2010,1
101,qb301_a_4,double,姓名4：家庭关系,adult2010,1
102,qb302_a_4,double,姓名4：血缘关系,adult2010,1
103,qb303y_a_4,double,姓名4：出生日期（年）,adult2010,1
104,qb303m_a_4,double,姓名4：出生日期（月）,adult2010,1
105,qb303a_a_4,double,姓名4：属相,adult2010,1
106,qb303b_a_4,double,姓名4：年龄,adult2010,1
107,qb304_a_4,double,姓名4：是否健在,adult2010,1
108,qb305_a_4,double,姓名4：是多大年纪时去世,adult2010,1
109,qb307_a_4,double,姓名4：婚姻状况,adult2010,1
110,qb308_a_4,double,姓名4：最高学历,adult2010,1
111,qb309_occu_4,double,兄弟姐妹4:职业代码,adult2010,1
112,qb309_ind_4,double,兄弟姐妹4:行业代码,adult2010,1
113,qb310_a_4,double,姓名4：是否有行政/管理职务,adult2010,1
114,qb312_a_4,double,姓名4：居住地点,adult2010,1
115,qb312spcode_a_4,double,外省注明（编码）_a_4,adult2010,1
116,qb301_a_5,double,姓名5：家庭关系,adult2010,1
117,qb302_a_5,double,姓名5：血缘关系,adult2010,1
118,qb303y_a_5,double,姓名5：出生日期（年）,adult2010,1
119,qb303m_a_5,double,姓名5：出生日期（月）,adult2010,1
120,qb303a_a_5,double,姓名5：属相,adult2010,1
